Taxa	PC1	PC2	PC3	PC4	PC5
1056	6.1867666	-0.051168486	-0.7136458	-1.7597646	0.8272456
961	3.5348103	0.3464424	0.08933711	-0.890108	-0.5820216
963	4.0261197	0.55529726	0.65928644	-0.3170193	-1.2309319
964	4.5276203	0.24286202	0.24075674	-1.9090134	0.0063730734
966	3.9397469	-0.09472671	-0.7258128	-1.6170162	0.69546014
967	2.6788735	-0.18390892	-0.6836117	-1.7746229	0.65644735
969	3.8366106	0.17588325	0.22978075	-1.0793898	0.008691462
970	-1.2077284	5.791652	-0.9997545	-0.9185261	0.34590238
972	5.5507445	0.21671697	-0.42138463	-1.2940962	0.18649562
974	6.969821	-0.7088855	-0.45349634	-1.2933004	0.7196403
975	6.017951	-0.7630473	-0.24673747	-1.6327639	0.46767452
976	5.5892806	-0.7850863	-0.6555899	-1.5254953	0.9036461
978	6.296661	-0.44503137	-0.09102324	-1.0166672	0.038194682
979	4.3215747	-0.499452	0.02356153	-2.0796542	-0.377485
980	0.7419973	3.4414563	-0.6615223	-1.1182011	-0.056159016
981	4.850815	-0.3855892	-0.1597208	-1.3033215	0.11905851
982	4.632783	-0.7738255	0.80581135	-1.957631	-0.0033831566
983	7.3950562	-0.7376995	-0.5976169	-1.1100376	0.61192995
984	0.5772032	4.479736	-1.3229808	-1.4864292	0.4308503
986	4.28694	-0.27635494	0.0891939	-0.98528934	-0.15094778
987	3.3058963	0.3598511	0.66553783	-1.1371955	-1.2201582
988	5.104456	0.13897769	-0.041630864	-1.7599051	0.10982768
989	5.92303	-0.29231784	-0.14150973	-2.082403	0.7489529
990	7.593632	-0.8051067	-0.34401548	-0.10530267	-0.2016829
991	6.5191407	-0.62812483	-0.32102346	-1.2992399	0.8875261
992	-7.789226	10.085051	-1.7887126	-0.2519296	0.41389245
994	4.3779445	0.4591121	-0.06385625	-1.228563	-0.35796613
996	2.7056956	1.4813476	-0.15168147	-2.0925336	-0.582032
997	6.632641	-0.74923277	-0.015040219	-1.2767178	1.0197847
998	5.333217	-0.6643126	-0.2079318	-2.143417	0.36023223
999	5.8001666	-0.15920365	-0.6977836	-1.9377352	0.65235937
443	-8.273648	-0.5025231	2.846672	-1.9476217	-1.8721445
444	-6.817466	-0.9132329	2.180319	-2.0162055	-0.72236323
445	-9.298096	-0.46483403	5.0356646	-3.0208855	-0.7666095
446	-6.98738	-0.4465481	2.7663646	-2.4681292	-0.24893032
447	-9.641106	-0.5836802	3.3957276	-3.148947	-1.3306425
450	-8.4292345	-0.914097	2.9434159	-2.0749853	-1.460102
452	-5.244655	-1.0576384	0.64941233	-1.2207341	-1.035956
453	1.1053574	-0.7939619	-0.09695606	-2.2385223	0.355446
454	-1.7135875	-1.2071029	-0.15474391	-2.343657	0.15148014
455	0.7835683	-1.2401016	-0.34690613	-1.6840235	-0.15971002
457	-6.8711777	-0.1880672	4.5197206	-3.9271302	-0.5165504
458	-2.9194818	-1.5133324	0.18191253	-2.376609	0.18777333
