PC	eigenvalue	proportion of total	cumulative proportion
620	0.02379	1.6518E-4	0.99559
621	0.02345	1.6282E-4	0.99575
622	0.02325	1.6146E-4	0.99591
623	0.02295	1.5935E-4	0.99607
624	0.02271	1.5766E-4	0.99623
625	0.02261	1.5701E-4	0.99639
626	0.02255	1.5655E-4	0.99654
627	0.02239	1.5545E-4	0.9967
628	0.02199	1.527E-4	0.99685
629	0.02171	1.5073E-4	0.997
630	0.02155	1.4963E-4	0.99715
631	0.0212	1.472E-4	0.9973
632	0.02088	1.4499E-4	0.99744
633	0.02073	1.4392E-4	0.99759
634	0.02053	1.4258E-4	0.99773
635	0.02023	1.4045E-4	0.99787
636	0.02007	1.3936E-4	0.99801
637	0.01996	1.386E-4	0.99815
638	0.01969	1.3669E-4	0.99829
639	0.01964	1.3635E-4	0.99842
640	0.0195	1.3543E-4	0.99856
641	0.01904	1.3219E-4	0.99869
642	0.01884	1.3083E-4	0.99882
643	0.01852	1.2861E-4	0.99895
644	0.01825	1.2669E-4	0.99908
645	0.01792	1.2444E-4	0.9992
646	0.0178	1.2357E-4	0.99932
647	0.01752	1.2163E-4	0.99945
648	0.01704	1.1835E-4	0.99956
649	0.01669	1.1588E-4	0.99968
650	0.0164	1.1387E-4	0.99979
651	0.01596	1.1083E-4	0.9999
652	0.01372	9.5247E-5	1
653	1.6761E-30	1.1638E-32	1
